audio,start,end,reference,w2v-bert-2.0-malagasy-asr__hyp,w2v-bert-2.0-malagasy-asr__conf
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00000_00000000_00004160.wav,0.0,4.16,"PDP, nou taray gana natan lewe, yina neto we community managera, exactement.",be dia be no taraiky any anatin'ilay hoe inona atao hoe kominisymanadraora egzak,0.853
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00001_00004680_00008600.wav,4.68,8.6,"Zava dhuit suwe, androan e mianatja te avaka tapapula natima afi an lias.",manko zavatra hoitsy hoe androany mianatra dia afaka tapa-bolanah dia mahafehan'ilay a,0.868
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00002_00008720_00012020.wav,8.72,12.02,"Ni salera nasi amazane, sa pe varie de 700 000 aryar lokalman,",asa nisalarana sema izany asa-peovariet e setso milary ary lokalim,0.729
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00003_00012140_00015000.wav,12.14,15.0,chiska min plus don zan kontra filans.,imao jisika mainy pilosy tanizany kontra filans,0.727
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00004_00015260_00018380.wav,15.26,18.38,"Tumadere, loun community management, zati t'avaka manon birak la kouy.",tsy madeha ieryaloha ny aominisy manadrmana satria tsy afaka anao mirakila koa,0.733
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00005_00020780_00024480.wav,20.78,24.48,"Sistem nisyo va tsuwe, resosio rir ni atok di manate na we a a zo rezultat.",sitem izyio atsyhoerezao soasao ry ny atako dia manan-tena hoe ahazo rezolta,0.68
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00006_00026700_00029620.wav,26.7,29.62,Eske te kapabl de m'aporti 5 000 euro monsuelmo?,o aizy keo dia kapabily de mamporite senkimiloro mansoelimo,0.856
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00007_00029620_00033440.wav,29.62,33.44,"Rifa ka pabla li ulla ma fida ni asanya te uminon falora umini,",limao rehefa kapabola ilay olona mahavita any asany dia omenao ny valoho ra omena iz,0.853
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00008_00033560_00036800.wav,33.56,36.8,an festismo wa noo inu linia ratara pinza avacha umini.,veismao anao iny olona iny raha tsara be ny zavatra omeny,0.838
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00009_00036880_00039120.wav,36.88,39.12,Su e ane kafa fon amensu ni duzak.,mity tsy hoe any an-kafafoana ny maitso ny bozaka,0.85
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00010_00039240_00042240.wav,39.24,42.24,Fa va ka mana amensu mbuzak azi imitio man mas no e no.,ozaka fa afaka manamaintso ny bozaka izay mitsy eo ambanin'ny masonao ian,0.912
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00011_00052520_00055200.wav,52.52,55.2,"anjon si ke de anjai tu fava viana krei,",androantsika dia andray tovovavy anankiray,0.919
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00012_00059900_00062120.wav,59.9,62.12,"avanyam na kartie Sho,",be avy any amin'ny ankardia soa,0.916
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00013_00062800_00065760.wav,62.8,65.76,ato matin ki uresan antiga mar margoku za eri fewa.,atao madinika ho resahantsika maromaro kokoa izay rehiva eo,0.944
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00014_00065760_00068860.wav,65.76,68.86,"Fondatrice dirijanta nyatoe le digital-la,",avy eo fondatrisy dirizanty ny atao hoe le dizitalina,0.875
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00015_00068920_00072980.wav,68.92,72.98,ariz i tena ma'atuk nante raga fa manan katou ni vevav,alona ary izy tena mahatoko tanteraka fa manan-katao ny vehivavy,0.898
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00016_00072980_00076840.wav,72.98,76.84,yao naten tutuln fanjarana si ni fanpfuar na ito Madagaskar.,vavy ao anatin'ny tontolon'ny fandrarana sy ny fampivoarana eto madagasikara,0.956
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00017_00076960_00079440.wav,76.96,79.44,"Ra ua txakambula, tsi manarka nayenoa,",tara raha ohatra ka mbola tsy manaraka anay ianao,0.916
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00018_00079440_00083740.wav,79.44,83.74,"ane na tutub de manasa nawa chan, fa prezonzei ane na tutub-tuba,",ao anyainatotiobo dia manasa anao hatrany fa pezana izahy aniainatotoby,0.832
